user_id,movie_id,rating,title,genre,age,gender,occupation
405,56,4,Pulp Fiction (1994),5,22,0,1
405,592,1,True Crime (1995),12,22,0,1
405,1582,1,T-Men (1947),9,22,0,1
405,171,1,Delicatessen (1991),14,22,0,1
405,580,1,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",4,22,0,1
405,1409,1,"Swan Princess, The (1994)",3,22,0,1
405,953,3,Unstrung Heroes (1995),4,22,0,1
405,994,1,"Last Time I Committed Suicide, The (1997)",7,22,0,1
405,387,1,"Age of Innocence, The (1993)",7,22,0,1
405,1432,1,"Mighty, The (1998)",7,22,0,1
405,190,2,Henry V (1989),16,22,0,1
405,521,4,"Deer Hunter, The (1978)",7,22,0,1
405,1177,1,Dunston Checks In (1996),4,22,0,1
405,1503,1,Gold Diggers: The Secret of Bear Mountain (1995),3,22,0,1
405,524,1,"Great Dictator, The (1940)",4,22,0,1
405,570,1,Wyatt Earp (1994),17,22,0,1
405,721,1,Mallrats (1995),4,22,0,1
405,210,5,Indiana Jones and the Last Crusade (1989),0,22,0,1
405,465,1,"Jungle Book, The (1994)",1,22,0,1
405,692,5,"American President, The (1995)",4,22,0,1
405,583,1,Romeo Is Bleeding (1993),15,22,0,1
405,186,5,"Blues Brothers, The (1980)",4,22,0,1
405,78,2,Free Willy (1993),1,22,0,1
405,11,4,Seven (Se7en) (1995),5,22,0,1
405,1578,1,"Collectionneuse, La (1967)",7,22,0,1
405,787,3,Roommates (1995),7,22,0,1
405,414,1,My Favorite Year (1982),4,22,0,1
405,172,5,"Empire Strikes Back, The (1980)",7,22,0,1
405,430,1,Duck Soup (1933),4,22,0,1
405,773,1,Mute Witness (1994),15,22,0,1
405,178,3,12 Angry Men (1957),7,22,0,1
405,647,1,Ran (1985),7,22,0,1
405,789,1,Swimming with Sharks (1995),7,22,0,1
405,1118,1,Up in Smoke (1978),4,22,0,1
405,426,1,"Transformers: The Movie, The (1986)",15,22,0,1
405,1338,1,Two Deaths (1995),7,22,0,1
405,1554,4,Safe Passage (1994),7,22,0,1
405,656,1,M (1931),9,22,0,1
405,1561,1,Tigrero: A Film That Was Never Made (1994),7,22,0,1
405,440,1,Amityville II: The Possession (1982),10,22,0,1
405,722,1,Nine Months (1995),4,22,0,1
405,540,1,Money Train (1995),0,22,0,1
405,997,1,Stuart Saves His Family (1995),4,22,0,1
405,232,4,Young Guns (1988),4,22,0,1
405,1100,1,What Happened Was... (1994),13,22,0,1
405,442,1,"Amityville Curse, The (1990)",10,22,0,1
405,72,3,"Mask, The (1994)",5,22,0,1
405,135,5,2001: A Space Odyssey (1968),12,22,0,1
405,700,1,Miami Rhapsody (1995),4,22,0,1
405,1434,1,Shooting Fish (1997),13,22,0,1
405,96,3,Terminator 2: Judgment Day (1991),14,22,0,1
405,1565,1,Daens (1992),7,22,0,1
405,734,2,Made in America (1993),4,22,0,1
405,1469,1,Tom and Huck (1995),1,22,0,1
405,964,1,"Month by the Lake, A (1995)",7,22,0,1
405,1250,1,Best of the Best 3: No Turning Back (1995),0,22,0,1
405,214,4,Pink Floyd - The Wall (1982),11,22,0,1
405,450,1,Star Trek V: The Final Frontier (1989),0,22,0,1
405,127,5,"Godfather, The (1972)",0,22,0,1
405,719,1,Canadian Bacon (1994),4,22,0,1
405,90,4,So I Married an Axe Murderer (1993),13,22,0,1
405,1230,1,Ready to Wear (Pret-A-Porter) (1994),4,22,0,1
405,206,1,Akira (1988),2,22,0,1
